X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.007035281576123,38.831845774144853,1599,Ward 8,"17 Mississippi Avenue Southeast, Washington, District of Columbia 20032",17 Mississippi Ave SE,Pipeline,DHCD,41,38.831838,-77.007033,9,32,0,0,0,,,399389.347467002,129338.841022489,,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1600,Ward 8,"2442 Martin Luther King Junior Avenue Southeast, Washington, District of Columbia 20032",2442 MLK,Pipeline,DHCD,112,,,6,106,0,0,0,,,0,0,,2019-12-30T04:00:25.000Z
-77.035232994785318,38.933780107334776,1601,Ward 1,"1500 Meridian Place Northwest, Washington, District of Columbia 20010",Urban Village Phase 1,Pipeline,DHCD,115,38.933773,-77.035231,14,55,46,0,0,,234586,396945.4,140654.9,1500 MERIDIAN PLACE NW,2019-12-30T04:00:25.000Z
-76.98815682204237,38.84311351334977,1603,Ward 8,"1301 Savannah Street Southeast, Washington, District of Columbia 20032",Savannah Apartments II,Pipeline,DHCD,65,38.843106,-76.988155,7,51,7,0,0,,155736,401028.34,130589.68,1301 SAVANNAH STREET SE,2019-12-30T04:00:25.000Z
-76.999299087643465,38.909316463926736,1605,Ward 5,"1300 4th Street NE, Washington, District of Columbia 20002",1300 4th St NE,Under Construction,DHCD,9,-76.999297,38.909309,0,0,0,9,0,,314063,400060.99,137938.64,1300 4TH STREET NE,2019-12-30T04:00:25.000Z
-77.008726351278625,38.913114687588966,1607,Ward 5,"1715 North Capitol Street Northeast, Washington, District of Columbia 20002",1715 North Capitol Street NE,Under Construction,DHCD,1,-77.008724,38.913107,0,0,1,0,0,,57422,399243.38,138360.31,1715 NORTH CAPITOL STREET NE,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1609,Ward 8,"306 Southern Avenue Southeast, Washington, Maryland 20032",Southern Avenue Apartments,Pipeline,DHCD,152,,,0,0,152,0,0,,,0,0,,2019-12-30T04:00:25.000Z
-76.98110295455389,38.885658973099261,1610,Ward 6,"261 17th Street Southeast, Washington, District of Columbia 20003",Eastern Branch Boys and Girls Club,Pipeline,DMPED DHCD,11,,,0,6,0,5,0,,45845,401639.73,135312.64,261 17TH STREET SE,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1612,,,1329 5th St NE,Pipeline,OP,24,,,0,0,5,19,0,14-12E,,0,0,,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1613,,,"48th Street and Yuma Street NW, Spring Valley",Pipeline,OP,29,,,0,0,29,0,0,19-10,,0,0,,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1614,Ward 4,,Abrams Hall Assisted Living,Pipeline,DHCD,54,,,54,0,0,0,0,,,0,0,,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1615,,,1200 5th St NW,Pipeline,OP,60,,,0,0,60,0,0,19-16,,0,0,,2019-12-30T04:00:25.000Z
-81.529192133279366,37.577269187734757,1616,Ward 8,"23rd Street Southeast, Washington, District of Columbia 20020",3301 23rd St SE,Pipeline,OP,130,,,0,0,130,0,0,19-19,,0,0,,2019-12-30T04:00:25.000Z
-77.028686470090548,38.936308636307025,1617,,"1125 Spring Road Northwest, Washington, District of Columbia 20010",Spring Flats Family - Affordable,Pipeline,DCHFA DHCD,58,,,9,49,0,0,0,,283920,397513.09,140935.39,1125 SPRING ROAD NW,2019-12-30T04:00:25.000Z
-77.032412428653046,38.936294780535533,1618,Ward 1,"3601 14th Street Northwest, Washington, District of Columbia 20010",3601 14th ST NW,Under Construction,DHCD,1,,,0,1,0,0,0,,230181,397190.05,140933.96,3601 14TH STREET NW,2019-12-30T04:00:25.000Z
-76.990712444056399,38.935993615034398,1619,Ward 5,"1201 Perry Street Northeast, Washington, District of Columbia 20017",1201 Perry ST NE,Under Construction,DHCD,1,,,0,0,1,0,0,,72105,400805.43,140900.07,1201 PERRY STREET NE,2019-12-30T04:00:25.000Z
-77.026757541757576,38.907805674653119,1620,Ward 2,"1313 11th Street Northwest, Washington, District of Columbia 20001",1313 11th ST NW,Under Construction,DHCD,1,,,0,0,0,1,0,,239301,397679.4,137771.27,1313 11TH STREET NW,2019-12-30T04:00:25.000Z
-76.935847544609587,38.912798867299173,1621,,"1650 Kenilworth Avenue Northeast, Washington, District of Columbia 20019",1650 Kenilworth Ave NE,Under Construction,DHCD,13,,,0,0,13,0,0,,320174,405564.03,138327.17,1650 KENILWORTH AVENUE NE,2019-12-30T04:00:25.000Z
